PJ File 	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	deceptive trust development	family	friendship	romantic	activities	personal information	compliment	relationship	reframing	communicative desensitization	isolation	approach	
REDBD.txt	0	0	0	0	0	26	8	15	0	0	0	0	0	10	6	0	0	26	8	15	
residentsmith.txt	0	0	0	0	26	195	20	49	5	0	0	0	5	38	17	4	26	195	20	49	
restchoice2000.txt	0	0	0	0	2	21	11	18	4	0	0	0	4	14	10	0	2	21	11	18	
ricks_talented_tongue.txt	0	0	0	0	2	213	2	32	0	0	0	0	0	12	7	0	2	213	2	32	
rkline05.txt	0	0	0	0	3	57	16	20	2	0	0	0	2	11	8	0	3	57	16	20	
rn_buzzkiller2003.txt	0	0	0	0	13	143	17	14	3	0	0	0	3	23	73	5	13	143	17	14	
roger4450.txt	0	0	0	0	0	15	3	8	0	0	0	0	0	12	6	0	0	15	3	8	
ryan4686.txt	0	0	0	0	2	47	4	18	5	0	0	0	5	21	3	0	2	47	4	18	
sadjack96.txt	0	0	0	0	12	85	16	64	14	0	0	0	14	28	253	14	12	85	16	64	
samr125.txt	0	0	0	0	7	40	33	42	0	0	0	0	0	28	9	3	7	40	33	42	
scoobydooatl01.txt	0	0	0	0	3	64	5	32	3	0	0	0	3	17	15	5	3	64	5	32	
seanemdyoung.txt	0	0	0	0	6	52	20	19	1	0	0	0	1	12	3	4	6	52	20	19	
sebastian_calif.txt	0	0	0	0	5	118	4	21	3	0	0	0	3	10	45	0	5	118	4	21	
SetOnMyShaft.txt	0	0	0	0	3	59	10	9	0	0	0	0	0	41	24	2	3	59	10	9	
shinelfmc2005.txt	0	0	0	0	9	174	5	10	1	0	0	0	1	46	14	0	9	174	5	10	
simpatico174.txt	0	0	0	0	25	105	11	61	0	0	0	0	0	24	35	2	25	105	11	61	
singletxguyforfun.txt	0	0	0	0	4	37	0	1	0	0	0	0	0	0	2	0	4	37	0	1	
Slikesw.txt	0	0	0	0	2	9	0	5	0	0	0	0	0	7	4	0	2	9	0	5	
smileman74.txt	0	0	0	0	35	600	97	127	0	0	0	0	0	234	246	9	35	600	97	127	
Socal128.txt	0	0	0	0	0	3	0	8	0	0	0	0	0	5	1	0	0	3	0	8	
solepleaser.txt	0	0	0	0	4	14	3	14	1	0	0	0	1	12	7	1	4	14	3	14	
southbayguy310.txt	0	0	0	0	8	108	20	93	5	0	0	0	5	54	5	0	8	108	20	93	
spaki786.txt	0	0	0	0	5	45	15	73	0	0	0	0	0	12	4	2	5	45	15	73	
SpecialGuy29.txt	0	0	0	0	2	29	7	4	0	0	0	0	0	3	19	4	2	29	7	4	
sphinx_56_02.txt	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
spongebob_giantdick.txt	0	0	0	0	1	67	0	9	1	0	0	0	1	6	6	0	1	67	0	9	
sst83.txt	0	0	0	0	1	74	17	43	0	0	0	0	0	23	12	0	1	74	17	43	
stephentanner69.txt	0	0	0	0	20	214	110	66	3	0	0	0	3	151	98	17	20	214	110	66	
steven_duncil78.txt	0	0	0	0	10	101	16	31	2	0	0	0	2	11	8	1	10	101	16	31	
steve_steve875.txt	0	0	0	0	7	127	1	13	1	0	0	0	1	16	6	1	7	127	1	13	
stoned_party.txt	0	0	0	0	16	76	87	137	5	0	0	0	5	106	75	10	16	76	87	137	
strega_num _7.txt	0	0	0	0	15	104	11	29	1	0	0	0	1	39	35	1	15	104	11	29	
strongman5577.txt	0	0	0	0	2	40	5	9	1	0	0	0	1	7	0	0	2	40	5	9	
stylelisticgrooves.txt	0	0	0	0	0	42	8	22	1	0	0	0	1	7	9	2	0	42	8	22	
sugardavis.txt	0	0	0	0	1	41	5	10	1	0	0	0	1	14	22	2	1	41	5	10	
sunrise_sunset66.txt	0	0	0	0	12	141	28	77	2	0	0	0	2	44	262	15	12	141	28	77	
sweet_jason002.txt	0	0	0	0	2	18	6	36	0	0	0	0	0	18	396	1	2	18	6	36	
swgamaleyess.txt	0	0	0	0	60	364	61	191	3	0	0	0	3	62	45	0	60	364	61	191	
tafatiw2006.txt	0	0	0	0	14	63	28	14	6	0	0	0	6	24	5	5	14	63	28	14	
tennisboy213.txt	0	0	0	0	12	163	43	68	6	0	0	0	6	86	18	9	12	163	43	68	
terubble33.txt	0	0	0	0	15	107	43	78	10	0	0	0	10	105	104	4	15	107	43	78	
texassailor04.txt	0	0	0	0	2	16	6	6	4	0	0	0	4	7	1	1	2	16	6	6	
thomascoffen.txt	0	0	0	0	11	52	10	28	0	0	0	0	0	7	25	0	11	52	10	28	
tim46107.txt	0	0	0	0	12	30	17	19	1	0	0	0	1	18	22	13	12	30	17	19	
tim_myers3.txt	0	0	0	0	11	58	4	18	0	0	0	0	0	5	27	0	11	58	4	18	
tmceach2000.txt	0	0	0	0	3	45	11	28	0	0	0	0	0	7	1	1	3	45	11	28	
toddgetrdone.txt	0	0	0	0	13	101	10	48	9	0	0	0	9	45	37	0	13	101	10	48	
tofast4yall2003.txt	0	0	0	0	4	47	10	7	2	0	0	0	2	12	15	0	4	47	10	7	
trianglelover.txt	0	0	0	0	13	30	21	31	0	0	0	0	0	25	44	2	13	30	21	31	
Truesweetguy69.txt	0	0	0	0	0	46	5	20	0	0	0	0	0	6	143	1	0	46	5	20	
